,image_id,x1,y1,x2,y2,filename
0,146,311.0,77.0,373.0,126.0,./cimalab/thyroid/106_2.jpg
1,147,258.0,72.0,328.0,123.0,./cimalab/thyroid/106_3.jpg
2,148,268.0,92.0,328.0,141.0,./cimalab/thyroid/106_4.jpg
3,150,237.0,82.0,348.0,152.0,./cimalab/thyroid/108_1.jpg
4,151,197.0,127.0,300.0,202.0,./cimalab/thyroid/109_1.jpg
5,152,277.0,79.0,392.0,173.0,./cimalab/thyroid/10_1.jpg
6,154,276.0,113.0,358.0,163.0,./cimalab/thyroid/111_1.jpg
7,155,257.0,106.0,343.0,186.0,./cimalab/thyroid/112_1.jpg
8,156,235.0,100.0,336.0,151.0,./cimalab/thyroid/113_1.jpg
9,157,231.0,82.0,320.0,166.0,./cimalab/thyroid/114_2.jpg
10,162,227.0,73.0,443.0,220.0,./cimalab/thyroid/119_1.jpg
11,163,238.0,56.0,343.0,159.0,./cimalab/thyroid/11_1.jpg
12,272,133.0,35.0,421.0,296.0,./cimalab/thyroid/1_1.jpg
13,273,136.0,35.0,419.0,296.0,./cimalab/thyroid/1_2.jpg
14,176,197.0,57.0,346.0,157.0,./cimalab/thyroid/12_1.jpg
15,192,182.0,100.0,400.0,234.0,./cimalab/thyroid/13_1.jpg
16,178,214.0,39.0,417.0,217.0,./cimalab/thyroid/130_2.jpg
17,177,144.0,36.0,403.0,207.0,./cimalab/thyroid/130_1.jpg
18,181,266.0,102.0,344.0,183.0,./cimalab/thyroid/132_2.jpg
19,186,178.0,56.0,427.0,306.0,./cimalab/thyroid/137_1.jpg
20,188,220.0,56.0,369.0,195.0,./cimalab/thyroid/138_2.jpg
21,191,103.0,60.0,242.0,130.0,./cimalab/thyroid/139_3.jpg
22,190,190.0,61.0,292.0,146.0,./cimalab/thyroid/139_2.jpg
23,193,245.0,119.0,329.0,192.0,./cimalab/thyroid/140_1.jpg
24,194,237.0,113.0,358.0,180.0,./cimalab/thyroid/141_1.jpg
25,197,270.0,93.0,348.0,136.0,./cimalab/thyroid/143_1.jpg
26,201,163.0,45.0,376.0,213.0,./cimalab/thyroid/146_2.jpg
27,203,234.0,115.0,304.0,165.0,./cimalab/thyroid/148_1.jpg
28,221,212.0,96.0,447.0,252.0,./cimalab/thyroid/15_1.jpg
29,206,147.0,54.0,437.0,182.0,./cimalab/thyroid/150_1.jpg
30,207,154.0,30.0,429.0,225.0,./cimalab/thyroid/151_1.jpg
31,209,240.0,81.0,315.0,131.0,./cimalab/thyroid/153_1.jpg
32,213,125.0,76.0,469.0,223.0,./cimalab/thyroid/156_2.jpg
33,215,214.0,59.0,375.0,167.0,./cimalab/thyroid/157_2.jpg
34,218,247.0,139.0,332.0,224.0,./cimalab/thyroid/158_2.jpg
35,216,244.0,133.0,423.0,221.0,./cimalab/thyroid/158_1.jpg
36,219,228.0,176.0,302.0,219.0,./cimalab/thyroid/158_3.jpg
37,233,156.0,59.0,420.0,216.0,./cimalab/thyroid/16_1.jpg
38,222,188.0,33.0,406.0,148.0,./cimalab/thyroid/160_1.jpg
39,226,247.0,141.0,312.0,191.0,./cimalab/thyroid/163_2.jpg
40,232,226.0,90.0,358.0,224.0,./cimalab/thyroid/169_1.jpg
41,247,188.0,71.0,382.0,274.0,./cimalab/thyroid/17_1.jpg
42,236,262.0,118.0,350.0,173.0,./cimalab/thyroid/172_1.jpg
43,238,214.0,50.0,375.0,205.0,./cimalab/thyroid/173_2.jpg
44,239,209.0,106.0,371.0,207.0,./cimalab/thyroid/174_1.jpg
45,244,210.0,66.0,400.0,129.0,./cimalab/thyroid/177_2.jpg
46,243,229.0,71.0,344.0,148.0,./cimalab/thyroid/177_1.jpg
47,245,198.0,61.0,376.0,187.0,./cimalab/thyroid/178_1.jpg
48,260,243.0,134.0,315.0,183.0,./cimalab/thyroid/18_1.jpg
49,251,134.0,48.0,417.0,286.0,./cimalab/thyroid/183_1.jpg
50,252,148.0,45.0,410.0,292.0,./cimalab/thyroid/183_2.jpg
51,259,156.0,71.0,369.0,227.0,./cimalab/thyroid/189_2.jpg
52,271,256.0,98.0,349.0,195.0,./cimalab/thyroid/19_1.jpg
53,261,205.0,89.0,332.0,172.0,./cimalab/thyroid/190_1.jpg
54,263,172.0,51.0,425.0,228.0,./cimalab/thyroid/193_1.jpg
55,264,261.0,109.0,356.0,167.0,./cimalab/thyroid/194_1.jpg
56,269,188.0,108.0,356.0,192.0,./cimalab/thyroid/198_2.jpg
57,401,159.0,69.0,383.0,245.0,./cimalab/thyroid/2_1.jpg
58,285,238.0,68.0,335.0,137.0,./cimalab/thyroid/20_1.jpg
